Country/Region,Confirmed,Deaths,Recovered,Active,Median PCT Confirmed,Median PCT Active,Population,Lockdown Duration
Afghanistan,36263,1269,25198,9796,0.040924711027803706,0.03208516886930979,39074280.0,
Albania,4880,144,2745,1991,0.026250443419652436,0.030283911671924235,2877239.0,40.0
Algeria,27973,1163,18837,7973,0.028492561594280374,0.02291890752536374,43984569.0,34.0
Andorra,907,52,803,52,0.0,0.0,77287.0,
Angola,950,41,242,667,0.027386150966936973,0.02244932149438761,33032075.0,
Antigua and Barbuda,86,3,65,18,0.0,0.0,98069.0,
Argentina,167416,3059,72575,91782,0.04319996164265327,0.0444172779136105,45267449.0,80.0
Armenia,37390,711,26665,10014,0.03819257665411513,0.02941176470588225,2964219.0,41.0
Australia,15303,167,9311,5825,0.0038839558246385186,0.008170756330693196,25550683.0,53.0
Austria,20558,713,18246,1599,0.004984242297612074,0.0021668096293051553,9015361.0,29.0
Azerbaijan,30446,423,23242,6781,0.03451435552840554,0.027458406600838536,10154978.0,34.0
Bahamas,382,11,91,280,0.0,0.0,393893.0,
Bahrain,39482,141,36110,3231,0.03231729709878817,0.01699604743082994,1711057.0,
Bangladesh,226225,2965,125683,97577,0.04877635925575807,0.04403506927652434,164972348.0,34.0
Barbados,110,7,94,9,0.0,0.0,287437.0,37.0
Belarus,67251,538,60492,6221,0.019629979494504957,0.007441577092127671,9448772.0,0.0
Belgium,66428,9822,17452,39154,0.00454911984420403,0.005685251304586636,11598451.0,54.0
Belize,48,2,26,20,0.0,0.0,398845.0,
Benin,1770,35,1036,699,0.0,0.0,12175480.0,
Bhutan,99,0,86,13,0.0,0.0,773069.0,
Bolivia,71181,2647,21478,47056,0.05303030303030298,0.04705882352941182,11700207.0,70.0
Bosnia and Herzegovina,10498,294,4930,5274,0.029553443562036152,0.022547914317925688,3277152.0,
Botswana,739,2,63,674,0.0,0.0,2359585.0,35.0
Brazil,2442375,87618,1846641,508116,0.05444923345518027,0.054481631082900606,212821986.0,85.0
Brunei,141,3,138,0,0.0,0.0,438202.0,
Bulgaria,10621,347,5585,4689,0.030330110317827508,0.026375806571237836,6939018.0,61.0
Burkina Faso,1100,53,926,121,0.005788947236809228,0.0,20997293.0,
Burma,350,6,292,52,0.0058651026392961825,0.0,,
Burundi,378,1,301,76,0.0,0.0,11948454.0,0.0
Cabo Verde,2328,22,1550,756,0.026201372997711747,0.028028519099947635,557026.0,
Cambodia,226,0,147,79,0.0,0.0,16758448.0,0.0
Cameroon,17110,391,14539,2180,0.0,0.0,26655083.0,
Canada,116458,8944,0,107514,0.014326542058717529,0.014133565078755184,37799407.0,52.0
Central African Republic,4599,59,1546,2994,0.003498032356799241,0.0,4843954.0,
Chad,922,75,810,37,0.0011481056257176547,0.0,16502877.0,
Chile,347923,9187,319954,18782,0.039800871666840654,0.023188094009000126,19144605.0,90.0
China,86783,4656,78869,3258,0.0005214629405769777,-0.002941176470588225,1440297825.0,76.0
Colombia,257101,8777,131161,117163,0.0463949035990765,0.046843812131922125,50976248.0,62.0
Comoros,354,7,328,19,0.0,0.0,872695.0,
Congo (Brazzaville),3200,54,829,2317,0.0,0.0,,
Congo (Kinshasa),8844,208,5700,2936,0.03558535327488399,0.0325626831650927,,
Costa Rica,15841,115,3824,11902,0.038125856508077205,0.04528607221283254,5102158.0,131.0
Cote d'Ivoire,15655,96,10361,5198,0.029568841995571082,0.022516796804067596,,
Croatia,4881,139,3936,806,0.014186965858623113,0.009961872459166243,4100719.0,54.0
Cuba,2532,87,2351,94,0.007055300038594781,0.014142215173142958,11325391.0,119.0
Cyprus,1060,19,852,189,0.0038722168441431837,0.011627906976744207,1208886.0,
Czechia,15516,373,11428,3715,0.009916555810859817,0.01054111033028815,,
Denmark,13761,613,12605,543,0.006989991653754024,0.0,5795780.0,58.0
Djibouti,5059,58,4977,24,0.008725788663580203,0.0,990447.0,
Dominica,18,0,18,0,0.0,0.0,72017.0,
Dominican Republic,64156,1083,30204,32869,0.02810659992204001,0.034267256512885425,10866667.0,52.0
Ecuador,81161,5532,34896,40733,0.01478502237580015,0.01795443931295737,17688599.0,71.0
Egypt,92482,4652,34838,52992,0.04351907159313928,0.038432606788754486,102659126.0,
El Salvador,15035,408,7778,6849,0.039078156312625234,0.041179223210107585,6491923.0,161.0
Equatorial Guinea,3071,51,842,2178,0.0,0.0,1410419.0,
Eritrea,265,0,191,74,0.0,0.0,3554797.0,21.0
Estonia,2034,69,1923,42,0.003518640439418186,0.0,1326693.0,67.0
Eswatini,2316,34,1025,1257,0.028894165025279417,0.021390986044383387,1162233.0,
Ethiopia,14547,228,6386,7933,0.041451890034364336,0.04097541475114941,115434444.0,
Fiji,27,0,18,9,0.0,0.0,897573.0,28.0
Finland,7398,329,6920,149,0.003409090909090917,0.029062317996505493,5542237.0,108.0
France,220352,30212,81212,108928,0.003983616933002976,0.002404900558518719,65298930.0,55.0
Gabon,7189,49,4682,2458,0.02206397765732382,0.004128661616970897,2234448.0,
Gambia,326,8,66,252,0.0,0.0,2427782.0,
Georgia,1137,16,922,199,0.01084010840108407,0.011204481792717047,3987805.0,62.0
Germany,207112,9125,190314,7673,0.0037128196570856975,0.0,83830972.0,44.0
Ghana,33624,168,29801,3655,0.028175247555049077,0.020215137447286202,31181428.0,21.0
Greece,4227,202,1374,2651,0.006754072308303494,0.012109375000000089,10413936.0,70.0
Greenland,14,0,13,1,0.0,0.0,56787.0,
Grenada,23,0,23,0,0.0,0.0,112614.0,
Guatemala,45309,1761,32455,11093,0.05388545232721831,0.05159454746430003,17971382.0,
Guinea,7055,45,6257,753,0.013676148796498921,0.005692599620493288,13191279.0,
Guinea-Bissau,1954,26,803,1125,0.0,0.0,1975718.0,
Guyana,389,20,181,188,0.006810600444773884,0.0,787215.0,
Haiti,7340,158,4365,2817,0.02569676974591295,0.022078026477504342,11426356.0,
Holy See,12,0,12,0,0.0,0.0,801.0,
Honduras,39741,1166,5039,33536,0.04070346200641528,0.037364130434782705,9931333.0,91.0
Hungary,4448,596,3329,523,0.007996313195924643,0.0025941019727266923,9655983.0,37.0
Iceland,1854,10,1823,21,0.0005546311702717688,0.0,341628.0,
India,1480073,33408,951166,495499,0.04589290842254834,0.04281109685338935,1382345085.0,75.0
Indonesia,100303,4838,58173,37292,0.029208732504101387,0.025760381649400754,274021604.0,127.0
Iran,293606,15912,255144,22550,0.01569040699560098,0.010654121553841378,84176929.0,27.0
Iraq,112585,4458,77144,30983,0.043047590675504566,0.044534412955465674,40372771.0,114.0
Ireland,25892,1764,23364,764,0.0031134619631523197,0.03420744717461632,4947267.0,52.0
Israel,63985,474,27133,36378,0.021049691936763648,0.040824661028938114,8678517.0,22.0
Italy,246286,35112,198593,12581,0.0030032034169780175,-9.28427522305375e-05,60446035.0,56.0
Jamaica,853,10,714,129,0.0078125,0.005494505494505475,2963429.0,14.0
Japan,31142,998,21970,8174,0.020813298530017788,0.03750000000000009,126407422.0,49.0
Jordan,1176,11,1041,124,0.009845288326300938,0.0,10220604.0,34.0
Kazakhstan,84648,585,54404,29659,0.03969270166453276,0.03980099502487566,18815231.0,
Kenya,17975,285,7833,9857,0.04166666666666674,0.04365201352597592,53968739.0,
Kosovo,7413,185,4027,3201,0.014711444206886415,0.0,,
Kuwait,64379,438,55057,8884,0.04225352112676051,0.026470588235294024,4281320.0,
Kyrgyzstan,33296,1301,21205,10790,0.035382218331812654,0.03339389288857786,6542426.0,
Laos,20,0,19,1,0.0,0.0,7293542.0,
Latvia,1219,31,1045,143,0.005276769699244954,0.010952552264460125,1882408.0,
Lebanon,3882,51,1709,2122,0.014270158226253993,0.015769852118801997,6819976.0,57.0
Lesotho,505,12,128,365,0.0,0.0,2145194.0,
Liberia,1167,72,646,449,0.017942992778548827,0.01270913770913773,5077411.0,19.0
Libya,2827,64,577,2186,0.03571246214381685,0.03237347294938919,6887247.0,
Liechtenstein,86,1,81,4,0.0,0.0,38147.0,
Lithuania,2019,80,1620,319,0.004881025015253115,0.0,2715340.0,72.0
Luxembourg,6321,112,4825,1384,0.004656685821737172,0.02206814229714993,627704.0,54.0
Madagascar,9690,91,6260,3339,0.04020905687423726,0.029043236951314166,27808395.0,28.0
Malawi,3664,99,1645,1920,0.030303030303030276,0.0253353204172877,19211425.0,0.0
Malaysia,8904,124,8601,179,0.005330643999423623,0.0,32436963.0,84.0
Maldives,3369,15,2547,807,0.013853775573222427,0.01587401574803149,542151.0,
Mali,2513,124,1913,476,0.02590673575129543,0.01948051948051943,20346106.0,
Malta,701,9,665,27,0.004319654427645814,0.0,441750.0,38.0
Mauritania,6208,156,4653,1399,0.013990206274566042,0.003072196620583778,4669775.0,
Mauritius,344,10,332,2,0.0,0.0,1272140.0,52.0
Mexico,395489,44022,303810,47657,0.04668260609683195,0.04636993329912786,129166028.0,107.0
Moldova,23154,748,16154,6252,0.02630638323984069,0.020134424656390704,4032294.0,
Monaco,116,4,104,8,0.0,0.0,39290.0,51.0
Mongolia,289,0,222,67,0.0,0.0,3287242.0,
Montenegro,2893,45,809,2039,0.008356545961002881,0.021739130434782705,628080.0,52.0
Morocco,20887,316,16553,4018,0.024101381520589382,0.036100834138965365,36985624.0,82.0
Mozambique,1701,11,0,1690,0.02740251312606934,0.02712724434035907,31398811.0,
Namibia,1843,8,101,1734,0.0,0.0,2548663.0,
